step,mean,std,n
50000,0.0,0.0,4
100000,0.0,0.0,4
150000,0.005,0.008660254037844387,4
200000,0.005,0.008660254037844387,4
250000,0.015,0.016583123951777,4
300000,0.01,0.017320508075688773,4
350000,0.005,0.008660254037844387,4
400000,0.035,0.02958039891549808,4
450000,0.025,0.016583123951777,4
500000,0.08,0.05099019513592785,4
550000,0.07500000000000001,0.049749371855331,4
600000,0.085,0.040926763859362246,4
650000,0.14500000000000002,0.021794494717703363,4
700000,0.08,0.05099019513592785,4
750000,0.065,0.05722761571129799,4
800000,0.045,0.02598076211353316,4
850000,0.135,0.07399324293474371,4
900000,0.115,0.08291561975888499,4
950000,0.14,0.07874007874011811,4
1000000,0.125,0.08645808232895291,4
