step,mean,std,n
50000,0.0,0.0,4
100000,0.005,0.008660254037844387,4
150000,0.01,0.017320508075688773,4
200000,0.055,0.02598076211353316,4
250000,0.03,0.022360679774997897,4
300000,0.06,0.03741657386773941,4
350000,0.045000000000000005,0.021794494717703367,4
400000,0.03,0.01,4
450000,0.07,0.017320508075688773,4
500000,0.125,0.03278719262151,4
550000,0.17,0.06403124237432849,4
600000,0.14500000000000002,0.049749371855330994,4
650000,0.205,0.049749371855330994,4
700000,0.22000000000000003,0.05099019513592784,4
750000,0.195,0.08645808232895291,4
800000,0.255,0.0792148975887743,4
850000,0.36,0.09486832980505137,4
900000,0.33,0.08544003745317531,4
950000,0.45499999999999996,0.1023474474522936,4
1000000,0.35,0.030000000000000002,4
