step,mean,std,n
50000,0.0,0.0,4
100000,0.005,0.008660254037844387,4
150000,0.015,0.02598076211353316,4
200000,0.24,0.1407124727947029,4
250000,0.13,0.16999999999999998,4
300000,0.14500000000000002,0.18834808201837364,4
350000,0.125,0.11346805717910217,4
400000,0.005,0.008660254037844387,4
450000,0.14,0.14491376746189438,4
500000,0.255,0.1479019945774904,4
550000,0.24,0.25019992006393604,4
600000,0.105,0.1818653347947321,4
650000,0.16999999999999998,0.14177446878757824,4
700000,0.01,0.01,4
750000,0.32,0.05099019513592784,4
800000,0.255,0.25937424698685874,4
850000,0.45,0.10049875621120889,4
900000,0.255,0.1996872554771586,4
950000,0.255,0.2515452245621054,4
1000000,0.275,0.2601441907865713,4
