step,mean,std,n
50000,0.07500000000000001,0.07533259586659682,4
100000,0.19,0.08062257748298551,4
150000,0.25,0.1676305461424021,4
200000,0.69,0.09848857801796104,4
250000,0.71,0.1532970971675589,4
300000,0.845,0.016583123951777013,4
350000,0.87,0.022360679774997918,4
400000,0.895,0.04769696007084728,4
450000,0.9,0.04690415759823429,4
500000,0.895,0.04555216789572151,4
550000,0.885,0.049749371855330994,4
600000,0.875,0.03278719262151003,4
650000,0.94,0.0374165738677394,4
700000,0.8949999999999999,0.06689544080129826,4
750000,0.88,0.020000000000000018,4
800000,0.89,0.030000000000000027,4
850000,0.8799999999999999,0.034641016151377525,4
900000,0.88,0.037416573867739444,4
950000,0.87,0.053851648071345036,4
1000000,0.9299999999999999,0.02999999999999998,4
